Courtland Sutton,Courtland Sutton,,
Marvin Mims,Marvin Mims,,
Troy Franklin,Troy Franklin,,
Pat Bryant (R),Pat Bryant ,,
Trent Sherfield (N),Trent Sherfield ,,
Evan Engram (N),Evan Engram ,,
Adam Trautman,Adam Trautman,,
Lucas Krull,Lucas Krull,,
Caleb Lohner (R),Caleb Lohner ,,
Wil Lutz,Wil Lutz,,
,,,
DET,DET,,
Jared Goff,Jared Goff,,
Kyle Allen,Kyle Allen,,
Jahmyr Gibbs,Jahmyr Gibbs,,
David Montgomery,David Montgomery,,
Craig Reynolds,Craig Reynolds,,
Sione Vaki,Sione Vaki,,
Amon-Ra St. Brown,Amon-Ra St. Brown,,
Jameson Williams,Jameson Williams,,
Isaac TeSlaa (R),Isaac TeSlaa ,,
Kalif Raymond,Kalif Raymond,,
Dominic Lovett (R),Dominic Lovett ,,
Sam LaPorta,Sam LaPorta,,
Brock Wright,Brock Wright,,
Shane Zylstra,Shane Zylstra,,
Kenny Yeboah (N),Kenny Yeboah ,,
Jake Bates,Jake Bates,,
,,,
GB,GB,,
Jordan Love,Jordan Love,,
Malik Willis,Malik Willis,,
Josh Jacobs,Josh Jacobs,,
Emanuel Wilson,Emanuel Wilson,,
Christopher Brooks,Christopher Brooks,,
MarShawn Lloyd (IR),MarShawn Lloyd ,,
Jayden Reed,Jayden Reed,,
Matthew Golden (R),Matthew Golden ,,
Romeo Doubs,Romeo Doubs,,
Savion Williams (R),Savion Williams ,,
Dontayvion Wicks,Dontayvion Wicks,,
Christian Watson (PUP),Christian Watson ,,
Tucker Kraft,Tucker Kraft,,
Luke Musgrave,Luke Musgrave,,
Ben Sims,Ben Sims,,
John FitzPatrick,John FitzPatrick,,
Brandon McManus,Brandon McManus,,
,,,
HOU,HOU,,
C.J. Stroud,C.J. Stroud,,
Davis Mills,Davis Mills,,
Graham Mertz (R),Graham Mertz ,,
Nick Chubb (N),Nick Chubb ,,
Dameon Pierce,Dameon Pierce,,
Woody Marks (R),Woody Marks ,,
Joe Mixon (NFI),Joe Mixon ,,
Dare Ogunbowale,Dare Ogunbowale,,
Nico Collins,Nico Collins,,
Christian Kirk (N),Christian Kirk ,,
Jayden Higgins (R),Jayden Higgins ,,
Jaylin Noel (R),Jaylin Noel ,,
Braxton Berrios (N),Braxton Berrios ,,
Justin Watson (N),Justin Watson ,,
Xavier Hutchinson,Xavier Hutchinson,,
Tank Dell (NFI),Tank Dell ,,
Dalton Schultz,Dalton Schultz,,
Cade Stover,Cade Stover,,
Harrison Bryant,Harrison Bryant,,
Ka'imi Fairbairn,Ka'imi Fairbairn,,
,,,
IND,IND,,
Daniel Jones (N),Daniel Jones ,,
Anthony Richardson,Anthony Richardson,,
Riley Leonard (R),Riley Leonard ,,
Jonathan Taylor,Jonathan Taylor,,
Tyler Goodson,Tyler Goodson,,
DJ Giddens (R),DJ Giddens ,,
Salvon Ahmed (IR),Salvon Ahmed ,,
Michael Pittman Jr.,Michael Pittman Jr.,,
Josh Downs,Josh Downs,,
Alec Pierce,Alec Pierce,,
Adonai Mitchell,Adonai Mitchell,,
Ashton Dulin,Ashton Dulin,,
Anthony Gould,Anthony Gould,,
Tyler Warren (R),Tyler Warren ,,
Mo Alie-Cox,Mo Alie-Cox,,
Drew Ogletree,Drew Ogletree,,
Will Mallory,Will Mallory,,
Spencer Shrader,Spencer Shrader,,
,,,
JAC,JAC,,
Trevor Lawrence,Trevor Lawrence,,
Nick Mullens (N),Nick Mullens ,,
Travis Etienne,Travis Etienne,,
Tank Bigsby,Tank Bigsby,,
Bhayshul Tuten (R),Bhayshul Tuten ,,
LeQuint Allen (R),LeQuint Allen ,,
Brian Thomas Jr.,Brian Thomas Jr.,,
Travis Hunter (R),Travis Hunter ,,
Parker Washington,Parker Washington,,
Dyami Brown (N),Dyami Brown ,,
Tim Patrick (N),Tim Patrick ,,
Brenton Strange,Brenton Strange,,
Hunter Long (N),Hunter Long ,,
Johnny Mundt (N),Johnny Mundt ,,
Cam Little,Cam Little,,
,,,
KC,KC,,
Patrick Mahomes,Patrick Mahomes,,
Gardner Minshew (N),Gardner Minshew ,,
Chris Oladokun,Chris Oladokun,,
Isiah Pacheco,Isiah Pacheco,,
Kareem Hunt,Kareem Hunt,,
Elijah Mitchell (N),Elijah Mitchell ,,
Brashard Smith (R),Brashard Smith ,,
Carson Steele,Carson Steele,,
Rashee Rice (SUS),Rashee Rice ,,
Xavier Worthy,Xavier Worthy,,
Hollywood Brown,Hollywood Brown,,
JuJu Smith-Schuster,JuJu Smith-Schuster,,
Jalen Royals (R),Jalen Royals ,,
Travis Kelce,Travis Kelce,,
Noah Gray,Noah Gray,,
Jake Briningstool (R),Jake Briningstool ,,
Harrison Butker,Harrison Butker,,
,,,
LVR,LVR,,
Geno Smith (N),Geno Smith ,,
Kenny Pickett (N),Kenny Pickett ,,
Aidan O'Connell (IR),Aidan O'Connell ,,
Ashton Jeanty (R),Ashton Jeanty ,,
Raheem Mostert (N),Raheem Mostert ,,
Zamir White,Zamir White,,
Dylan Laube,Dylan Laube,,
Jakobi Meyers,Jakobi Meyers,,
Dont'e Thornton Jr. (R),Dont'e Thornton Jr. ,,
Tre Tucker,Tre Tucker,,
Jack Bech (R),Jack Bech ,,
Amari Cooper (N),Amari Cooper ,,
Brock Bowers,Brock Bowers,,
Michael Mayer,Michael Mayer,,
Ian Thomas (N),Ian Thomas ,,
Daniel Carlson,Daniel Carlson,,
,,,
LAC,LAC,,
Justin Herbert,Justin Herbert,,
Trey Lance (N),Trey Lance ,,
Omarion Hampton (R),Omarion Hampton ,,
Najee Harris (N),Najee Harris ,,
Kimani Vidal,Kimani Vidal,,
Hassan Haskins,Hassan Haskins,,
Ladd McConkey,Ladd McConkey,,
Keenan Allen (N),Keenan Allen ,,
Tre Harris (R),Tre Harris ,,
Quentin Johnston,Quentin Johnston,,
Derius Davis,Derius Davis,,
KeAndre Lambert-Smith (R),KeAndre Lambert-Smith ,,
Will Dissly,Will Dissly,,
Tyler Conklin (N),Tyler Conklin ,,
Oronde Gadsden II (R),Oronde Gadsden II ,,
Tucker Fisk,Tucker Fisk,,
Cameron Dicker,Cameron Dicker,,
,,,
LAR,LAR,,
Matthew Stafford,Matthew Stafford,,
Jimmy Garoppolo,Jimmy Garoppolo,,
Stetson Bennett,Stetson Bennett,,
Kyren Williams,Kyren Williams,,
Blake Corum,Blake Corum,,
Jarquez Hunter (R),Jarquez Hunter ,,
Puka Nacua,Puka Nacua,,
Davante Adams (N),Davante Adams ,,
Tutu Atwell,Tutu Atwell,,
Xavier Smith,Xavier Smith,,
Jordan Whittington,Jordan Whittington,,
Konata Mumpfield,Konata Mumpfield,,
Tyler Higbee,Tyler Higbee,,
Colby Parkinson,Colby Parkinson,,
Terrance Ferguson (R),Terrance Ferguson ,,
Davis Allen,Davis Allen,,
Joshua Karty,Joshua Karty,,
,,,
MIA,MIA,,
Tua Tagovailoa,Tua Tagovailoa,,
Zach Wilson (N),Zach Wilson ,,
Quinn Ewers (R),Quinn Ewers ,,
De'Von Achane,De'Von Achane,,
Jaylen Wright,Jaylen Wright,,
Ollie Gordon II (R),Ollie Gordon II ,,
Alexander Mattison (N) (IR),Alexander Mattison  ,,
Tyreek Hill,Tyreek Hill,,
Jaylen Waddle,Jaylen Waddle,,
Malik Washington,Malik Washington,,
Nick Westbrook-Ikhine (N),Nick Westbrook-Ikhine ,,
Tahj Washington,Tahj Washington,,
Darren Waller (N),Darren Waller ,,
Julian Hill,Julian Hill,,
Jalin Conyers (R),Jalin Conyers ,,
Jason Sanders (IR),Jason Sanders ,,
,,,
MIN,MIN,,
J.J. McCarthy,J.J. McCarthy,,
Carson Wentz (N),Carson Wentz ,,
Brett Rypien,Brett Rypien,,
Aaron Jones,Aaron Jones,,
Jordan Mason (N),Jordan Mason ,,
Ty Chandler,Ty Chandler,,
Zavier Scott,Zavier Scott,,
Justin Jefferson,Justin Jefferson,,
Jordan Addison,Jordan Addison,,
Adam Thielen (N),Adam Thielen ,,
Jalen Nailor,Jalen Nailor,,
Tim X. Jones,Tim X. Jones,,
Tai Felton (R),Tai Felton ,,
Rondale Moore (N) (IR),Rondale Moore  ,,
T.J. Hockenson,T.J. Hockenson,,
Josh Oliver,Josh Oliver,,
Gavin Bartholomew (R),Gavin Bartholomew ,,
Will Reichard,Will Reichard,,
,,,
NE,NE,,
Drake Maye,Drake Maye,,
Joshua Dobbs (N),Joshua Dobbs ,,
Tommy DeVito (N),Tommy DeVito ,,
Rhamondre Stevenson,Rhamondre Stevenson,,
TreVeyon Henderson (R),TreVeyon Henderson ,,
Antonio Gibson,Antonio Gibson,,
Terrell Jennings,Terrell Jennings,,
Stefon Diggs,Stefon Diggs,,
DeMario Douglas,DeMario Douglas,,
Kayshon Boutte,Kayshon Boutte,,
Kyle Williams (R),Kyle Williams ,,
Mack Hollins (N),Mack Hollins ,,
Efton Chism III (R),Efton Chism III ,,
Ja'Lynn Polk (IR),Ja'Lynn Polk ,,
Hunter Henry,Hunter Henry,,
Austin Hooper,Austin Hooper,,
Jack Westover,Jack Westover,,
CJ Dippre (R),CJ Dippre ,,
Andres Borregales (R),Andres Borregales ,,
,,,
NO,NO,,
Spencer Rattler,Spencer Rattler,,
Tyler Shough (R),Tyler Shough ,,
Alvin Kamara,Alvin Kamara,,
Kendre Miller,Kendre Miller,,
Devin Neal (R),Devin Neal ,,
Chris Olave,Chris Olave,,
Rashid Shaheed,Rashid Shaheed,,
Brandin Cooks (N),Brandin Cooks ,,
Devaughn Vele (N),Devaughn Vele ,,
Cedrick Wilson,Cedrick Wilson,,
Mason Tipton,Mason Tipton,,
Bub Means (IR),Bub Means ,,
Juwan Johnson,Juwan Johnson,,
Moliki Matavao (R),Moliki Matavao ,,
Foster Moreau (PUP),Foster Moreau ,,
Taysom Hill (PUP),Taysom Hill ,,
Blake Grupe,Blake Grupe,,
,,,
NYG,NYG,,
Russell Wilson (N),Russell Wilson ,,
Jameis Winston (N),Jameis Winston ,,
Jaxson Dart (R),Jaxson Dart ,,
Tyrone Tracy Jr.,Tyrone Tracy Jr.,,
Devin Singletary,Devin Singletary,,
Cam Skattebo (R),Cam Skattebo ,,
Eric Gray,Eric Gray,,
Malik Nabers,Malik Nabers,,
Wan'Dale Robinson,Wan'Dale Robinson,,
Darius Slayton,Darius Slayton,,
Jalin Hyatt,Jalin Hyatt,,
Beaux Collins (R),Beaux Collins ,,
Theo Johnson,Theo Johnson,,
Daniel Bellinger,Daniel Bellinger,,
Thomas Fidone II (R),Thomas Fidone II ,,
Graham Gano,Graham Gano,,
Jude McAtamney,Jude McAtamney,,
,,,
NYJ,NYJ,,
Justin Fields (N),Justin Fields ,,
Tyrod Taylor,Tyrod Taylor,,
Breece Hall,Breece Hall,,
Braelon Allen,Braelon Allen,,
Isaiah Davis,Isaiah Davis,,
Donovan Edwards,Donovan Edwards,,
Garrett Wilson,Garrett Wilson,,
Allen Lazard,Allen Lazard,,
Josh Reynolds (N),Josh Reynolds ,,
Tyler Johnson (N),Tyler Johnson ,,
Xavier Gipson,Xavier Gipson,,
Arian Smith (R),Arian Smith ,,
Irvin Charles,Irvin Charles,,
Jeremy Ruckert,Jeremy Ruckert,,
Mason Taylor (R),Mason Taylor ,,
Stone Smartt (N),Stone Smartt ,,
Jelani Woods (N),Jelani Woods ,,
Harrison Mevis (N),Harrison Mevis ,,
,,,
PHI,PHI,,
Jalen Hurts,Jalen Hurts,,
Tanner McKee,Tanner McKee,,
Sam Howell (N),Sam Howell ,,
Saquon Barkley,Saquon Barkley,,
Will Shipley,Will Shipley,,
AJ Dillon (N),AJ Dillon ,,
A.J. Brown,A.J. Brown,,
DeVonta Smith,DeVonta Smith,,
Jahan Dotson,Jahan Dotson,,
John Metchie (N),John Metchie ,,
Darius Cooper,Darius Cooper,,
Johnny Wilson (IR),Johnny Wilson ,,
Dallas Goedert,Dallas Goedert,,
Grant Calcaterra,Grant Calcaterra,,
Kylen Granson (N),Kylen Granson ,,
Jake Elliott,Jake Elliott,,
,,,
PIT,PIT,,
Aaron Rodgers (N),Aaron Rodgers ,,
Mason Rudolph (N),Mason Rudolph ,,
Will Howard (R),Will Howard ,,
Skylar Thompson (N),Skylar Thompson ,,
Jaylen Warren,Jaylen Warren,,
Kenneth Gainwell (N),Kenneth Gainwell ,,
Kaleb Johnson (R),Kaleb Johnson ,,
DK Metcalf (N),DK Metcalf ,,
Calvin Austin,Calvin Austin,,
Roman Wilson,Roman Wilson,,
Ben Skowronek,Ben Skowronek,,
Scotty Miller,Scotty Miller,,
Jonnu Smith (N),Jonnu Smith ,,
Pat Freiermuth,Pat Freiermuth,,
Darnell Washington,Darnell Washington,,
Connor Heyward,Connor Heyward,,
Chris Boswell,Chris Boswell,,
,,,
SEA,SEA,,
Sam Darnold (N),Sam Darnold ,,
Jalen Milroe (R),Jalen Milroe ,,
Drew Lock (N),Drew Lock ,,
Kenneth Walker III,Kenneth Walker III,,
Zach Charbonnet,Zach Charbonnet,,
George Holani,George Holani,,
Kenny McIntosh,Kenny McIntosh,,
Jaxon Smith-Njigba,Jaxon Smith-Njigba,,
Cooper Kupp (N),Cooper Kupp ,,
Tory Horton (R),Tory Horton ,,
Jake Bobo,Jake Bobo,,
Dareke Young,Dareke Young,,
Ricky White III (R),Ricky White III ,,
Elijah Arroyo (R),Elijah Arroyo ,,
AJ Barner,AJ Barner,,
Eric Saubert (N),Eric Saubert ,,
Jason Myers,Jason Myers,,
,,,
SF,SF,,
Brock Purdy,Brock Purdy,,
Mac Jones (N),Mac Jones ,,
Kurtis Rourke (R),Kurtis Rourke ,,
Christian McCaffrey,Christian McCaffrey,,
Brian Robinson Jr. (N),Brian Robinson Jr. ,,
Isaac Guerendo,Isaac Guerendo,,
Jordan James (R),Jordan James ,,
Kyle Juszczyk,Kyle Juszczyk,,
Ricky Pearsall,Ricky Pearsall,,
Jauan Jennings,Jauan Jennings,,
Jordan Watkins (R),Jordan Watkins ,,
Skyy Moore (N),Skyy Moore ,,
Brandon Aiyuk (PUP),Brandon Aiyuk ,,
Demarcus Robinson (N) (SUS),Demarcus Robinson  ,,
Jacob Cowing (IR),Jacob Cowing ,,
George Kittle,George Kittle,,
Luke Farrell (N),Luke Farrell ,,
Jake Moody,Jake Moody,,
,,,
TB,TB,,
Baker Mayfield,Baker Mayfield,,
Teddy Bridgewater (N),Teddy Bridgewater ,,
Bucky Irving,Bucky Irving,,
Rachaad White,Rachaad White,,
Sean Tucker,Sean Tucker,,
Josh Y. Williams (N),Josh Y. Williams ,,
Mike Evans,Mike Evans,,
Emeka Egbuka (R),Emeka Egbuka ,,
Chris Godwin,Chris Godwin,,
Sterling Shepard,Sterling Shepard,,
Trey Palmer,Trey Palmer,,
Tez Johnson (R),Tez Johnson ,,
Ryan Miller,Ryan Miller,,
Jalen McMillan (IR),Jalen McMillan ,,
Cade Otton,Cade Otton,,
Payne Durham,Payne Durham,,
Devin Culp,Devin Culp,,
Chase McLaughlin,Chase McLaughlin,,
,,,
TEN,TEN,,
Cam Ward (R),Cam Ward ,,
Brandon Allen (N),Brandon Allen ,,
Will Levis (IR),Will Levis ,,
Tony Pollard,Tony Pollard,,
Tyjae Spears (IR-R),Tyjae Spears ,,
Julius Chestnut,Julius Chestnut,,
Kalel Mullings (R),Kalel Mullings ,,
Calvin Ridley,Calvin Ridley,,
Tyler Lockett (N),Tyler Lockett ,,
Elic Ayomanor (R),Elic Ayomanor ,,
Van Jefferson (N),Van Jefferson ,,
Chimere Dike (R),Chimere Dike ,,
Chig Okonkwo,Chig Okonkwo,,
Gunnar Helm (R),Gunnar Helm ,,
Joey Slye (N),Joey Slye ,,
,,,
WAS,WAS,,
Jayden Daniels,Jayden Daniels,,
Josh Johnson (N),Josh Johnson ,,
Marcus Mariota,Marcus Mariota,,
Austin Ekeler,Austin Ekeler,,
Jacory Croskey-Merritt (R),Jacory Croskey-Merritt ,,
Chris Rodriguez Jr.,Chris Rodriguez Jr.,,
Jeremy McNichols,Jeremy McNichols,,
Terry McLaurin,Terry McLaurin,,
Deebo Samuel (N),Deebo Samuel ,,
Noah Brown,Noah Brown,,
Luke McCaffrey,Luke McCaffrey,,
Jaylin Lane (R),Jaylin Lane ,,
Zach Ertz,Zach Ertz,,
Ben Sinnott,Ben Sinnott,,
John Bates,John Bates,,
Matt Gay,Matt Gay,,
