Player,Pos,Team,Opp,Salary,FPTS,ppd,min_sal,rep_points,PAR_PD,,Pas Yds,Pas TD,Ints,Yds,Rec,TDs,Pred TDs,Odds FPTS,Pred FPTS,Salary,Avg,PPD
Chris Olave,WR,NO,BUF,20,10.09869217,0.505,10,6.640268216,0.345842396,,,,,60,5.7,250,0.285714286,11.54057143,10.09869217,20,10.82,0.541
Romeo Doubs,WR,GB,DAL,18,8.270306562,0.46,10,6.640268216,0.203754793,,,,,41,3.4,180,0.357142857,8.735714286,8.270306562,18,8.503,0.4724
Matthew Golden,WR,GB,DAL,17,8.921567568,0.525,10,6.640268216,0.325899907,,,,,48,2.8,220,0.3125,8.831,8.921567568,17,8.876,0.5221
Elic Ayomanor,WR,TEN,HOU,17,6.912127631,0.407,10,6.640268216,0.038837059,,,,,33,3.4,400,0.2,6.794,6.912127631,17,6.853,0.4031
Marquise Brown,WR,KC,BAL,16,7.910225483,0.494,10,6.640268216,0.211659544,,,,,39,3.8,210,0.322580645,8.50716129,7.910225483,16,8.209,0.513
Darnell Mooney,WR,ATL,WAS,16,7.900871416,0.494,10,6.640268216,0.210100533,,,,,43,3.5,260,0.277777778,8.451333333,7.900871416,16,8.176,0.511
KaVontae Turpin,WR,DAL,GB,12,6.635267178,0.553,10,6.640268216,-0.002500519,,,,,31,3.3,350,0.222222222,6.680666667,6.635267178,12,6.658,0.5548
Tyquan Thornton,WR,KC,BAL,12,6.618230744,0.552,10,6.640268216,-0.011018736,,,,,24,3.01,500,0.166666667,5.3896,6.618230744,12,6.004,0.5003
Dontayvion Wicks,WR,GB,DAL,11,7.071541286,0.643,10,6.640268216,0.431273069,,,,,40,3.4,220,0.3125,8.319,7.071541286,11,7.695,0.6996
Sterling Shepard,WR,TB,PHI,10,6.640268216,0.664,10,6.640268216,0,,,,,,,,,,6.640268216,10,3.32,0.332
Stefon Diggs,WR,NE,CAR,21,7.354064627,0.35,10,6.640268216,0.064890583,,,,,36,3.5,240,0.294117647,7.823058824,7.354064627,21,7.589,0.3614
Tucker Kraft,TE,GB,DAL,19,9.372556026,0.493,10,4.405547099,0.551889881,,,,,42,3.6,200,0.333333333,8.788,9.372556026,19,9.08,0.4779
Tyler Warren,TE,IND,LAR,17,9.258560481,0.545,10,4.405547099,0.693287626,,,,,50,4.4,230,0.303030303,9.873090909,9.258560481,17,9.566,0.5627
Jake Ferguson,TE,DAL,GB,15,9.577769782,0.639,10,4.405547099,1.034444537,,,,,52,6.3,210,0.322580645,11.28516129,9.577769782,15,10.431,0.6954
Kyle Pitts,TE,ATL,WAS,12,7.090571588,0.591,10,4.405547099,1.342512244,,,,,38,3.5,320,0.238095238,7.645142857,7.090571588,12,7.368,0.614
Harold Fannin,TE,CLE,DET,12,7.033881686,0.586,10,4.405547099,1.314167293,,,,,30,3.01,380,0.208333333,6.3156,7.033881686,12,6.675,0.5562
Travis Hunter,WR,JAC,SF,15,7.972825753,0.532,10,6.640268216,0.266511507,,,,,28,3.01,260,0.277777778,6.27025,7.972825753,15,7.122,0.4748
Deebo Samuel,WR,WAS,ATL,25,10.8971833,0.436,10,6.640268216,0.283794339,,,,,56,5.3,145,0.408163265,10.69897959,10.8971833,25,10.798,0.4319
